obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_iss_2015-05-26_15-04-01.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__44247: 'http://tycho:44247/'}
rosversion: '1.11.10

  '
run_id: 99b4f01e-08b3-11e5-9449-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_iss_2015-05-22_03-21-21.pcd 0.11017 0.000810566 0.00264009 7 83,54,52,51,44,26,18 41,38,29,31,21,13,13 -1 386100 301 550 -1 -1 301 550 -1 -1 385799,172,66,33,13,11,2,4 -1 0,172,66,33,13,11,2,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-22_03-23-14.pcd 0.107124 0.00225987 0.00131042 5 100,43,32,23,23 42,28,19,16,13 -1 413127 288 550 -1 -1 288 550 -1 -1 412839,177,44,32,16,10,3,1,0,1,3,1 -1 0,177,44,32,16,10,3,1,0,1,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-22_03-24-57.pcd 0.102187 0.000737534 0.00205336 7 85,44,43,37,37,28,24 34,15,30,24,23,19,13 -1 400554 305 550 -1 -1 305 550 -1 -1 400249,199,49,28,8,9,6,1,2,0,1,1,1 -1 0,199,49,28,8,9,6,1,2,0,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-22_03-26-44.pcd 0.114363 0.000697828 0.00123162 4 59,47,40,28 24,21,14,18 -1 394284 275 550 -1 -1 275 550 -1 -1 394009,169,52,16,10,11,10,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,169,52,16,10,11,10,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-22_03-27-37.pcd 0.115876 0.00166208 0.00183225 5 109,84,39,39,20 42,39,22,15,15 -1 393822 274 550 -1 -1 274 550 -1 -1 393548,167,48,19,13,11,4,8,1,2,0,0,0,0,0,0,0,1 -1 0,167,48,19,13,11,4,8,1,2,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-22_03-28-25.pcd 0.0872149 0.0011475 0.00123703 3 168,64,36 67,23,19 -1 371910 271 550 -1 -1 271 550 -1 -1 371639,145,62,34,8,10,4,1,3,0,2,2 -1 0,145,62,34,8,10,4,1,3,0,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-22_03-29-06.pcd 0.0951057 0.000722617 0.00197471 6 121,79,64,42,39,27 43,30,30,26,13,16 -1 408408 275 550 -1 -1 275 550 -1 -1 408133,152,52,35,13,15,4,0,1,2,0,0,1 -1 0,152,52,35,13,15,4,0,1,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-22_03-30-33.pcd 0.0861058 0.000636462 0.00153673 7 128,54,54,43,33,25,24 41,33,29,20,13,14,15 -1 392704 285 550 -1 -1 285 550 -1 -1 392419,173,46,25,17,12,5,4,3 -1 0,173,46,25,17,12,5,4,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-22_03-31-49.pcd 0.105765 0.000710774 0.00119709 7 133,85,46,35,33,26,23 60,26,25,14,24,16,13 -1 399960 263 550 -1 -1 263 550 -1 -1 399697,143,61,19,13,12,5,2,3,2,3 -1 0,143,61,19,13,12,5,2,3,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-22_03-33-14.pcd 0.0906074 0.000646013 0.00139752 3 158,39,13 61,14,12 -1 378972 258 550 -1 -1 258 550 -1 -1 378714,140,49,18,27,8,9,4,1,1,0,1 -1 0,140,49,18,27,8,9,4,1,1,0,1 -1
